			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
	Eu		1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	e_		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_y		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__		0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
	_u		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	E_		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	ei		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	iy		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ii		0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	iu		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	Ei		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	Ee		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	i_		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ee	ee	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
